679859	My cell phone doesn't work.	11924822	Ponsel saya tidak berfungsi.
5416405	Get well soon.	11924825	Semoga lekas sembuh.
434996	He sells cars.	11924827	Dia menjual mobil.
2748812	She sells seashells in Chelsea.	11924828	Dia menjual kerang laut di Chelsea.
67900	That store sells men's wear.	11924830	Toko itu menjual pakaian pria.
5774059	That's very, very sad.	11924837	Itu sangat, sangat menyedihkan.
3286968	They found nothing suspicious.	11924841	Mereka tidak menemukan sesuatu yang mencurigakan.
11924846	Tom put on the mask that Mary gave him.	11924852	Tom memakai masker yang Mary berikan kepadanya.
5308245	What colour is your hair?	4225752	Apa warna rambutmu?
20392	Never mind.	4555926	Sudahlah.
11926422	Tom borrowed my umbrella.	11926424	Tom meminjam payungku.
707129	It's so big!	11926427	Besar banget!
1839582	Tom sat cross-legged in the dark.	11926433	Tom duduk bersila di kegelapan.
11828444	She didn't say anything, she just cried.	11926461	Dia tidak mengatakan apa-apa, dia hanya menangis.
2107479	Tom's deaf.	11926481	Tom tuli.
11926491	Tom has meningitis.	11926504	Tom menderita penyakit meningitis.
853153	He came.	10000571	Dia datang.
853152	She came.	10000571	Dia datang.
11923308	Please don't touch anything.	11927001	Tolong jangan sentuh apa pun.
11927004	Avoid Tom.	11927005	Hindari Tom.
7787903	I amn't going to do that.	11927040	Aku tidak akan melakukan itu.
2545342	I'm not going to do that.	11927040	Aku tidak akan melakukan itu.
2271957	I won't do that.	11927040	Aku tidak akan melakukan itu.
11927104	I was a bum.	11927124	Aku dulu gelandangan.
11927132	I was a rebel.	11927136	Dulu saya seorang pemberontak.
11927150	I was let in.	11927163	Aku dibiarkan masuk.
11927206	Are you offended?	11927213	Apakah kamu tersinggung?
11927327	I was born in a refugee camp.	11927338	Saya lahir di kamp pengungsi.
11927333	I was born on a Monday.	11927340	Saya lahir pada hari Senin.
11927344	Come watch.	11927345	Ayo tonton.
8475996	He's a bum.	11927356	Dia gelandangan.
20200	A reporter is interviewing Dr. Patterson about Koko, a talking gorilla.	1034576	Seorang wartawan sedang mewawancarai Dr. Patterson mengenai koko, gorila yang bisa bicara.
3758593	Ow!	4556918	Aduh!
11271712	Gross.	11802852	Jorok!
11926944	That's much more important!	11654007	Itu jauh lebih penting!
11926821	My neighbour is French.	11927387	Tetangga saya orang Prancis.
254963	I can't smoke.	11928065	Aku tidak boleh merokok.
280208	I can't move.	11928066	Aku tidak bisa bergerak.
1650172	I can't breathe.	11928067	Aku tidak bisa bernapas.
1954908	I can't stand.	11928068	Aku tidak bisa berdiri.
8942762	I can't believe you don't like peanut butter.	11928069	Aku tidak percaya kamu tidak suka selai kacang.
3911000	I can't protect them.	11928070	Aku tidak bisa melindungi mereka.
2202968	I'm illiterate.	10259308	Aku buta huruf.
2648657	Tom went surfing.	11928071	Tom pergi berselancar.
683997	I can't trust him.	11928072	Aku tidak bisa mempercayainya.
1951549	I can't eat chicken.	11928073	Aku tidak boleh makan ayam.
1257353	I can't forgive her.	10963156	Aku tidak bisa memaafkannya.
609291	I can't talk.	11928074	Aku tidak bisa berbicara.
1841700	I can't see.	11928075	Saya tidak bisa melihat.
1951742	I can't go.	11928076	Aku tidak boleh pergi.
237738	I can't live without you.	986164	Aku tak dapat hidup tanpamu.
1951547	I can't drive.	11928079	Aku tidak bisa menyetir.
1954729	I can't read.	11928080	Saya tidak bisa membaca.
2245904	I haven't slept.	10068844	Aku belum tidur.
32599	I haven't finished my homework yet.	3253771	Aku belum menyelesaikan pekerjaan rumahku.
8580091	Algiers is completely different.	11928082	Aljir sama sekali berbeda.
1109373	It's been a long time since I've worn a tie.	11928083	Sudah lama aku tidak memakai dasi.
4979518	He lives in his aunt's house.	11928085	Dia tinggal di rumah bibinya.
7633324	Tom hasn't yet returned from Australia.	11928087	Tom belum kembali dari Australia.
2360711	I hear you're very good at French.	11928090	Kudengar kamu sangat pandai berbahasa Prancis.
6203836	Tomorrow is Wednesday.	11928093	Besok hari Rabu.
6268880	Only two people did that.	11928094	Hanya dua orang yang melakukan itu.
57202	Is there a gas station around here?	11928097	Apakah ada pom bensin di sekitar sini?
10210393	Ziri touched Rima.	11928098	Ziri menyentuh Rima.
3818583	Tom isn't very well.	11928099	Tom tidak begitu sehat.
9419751	I live in the capital.	11928100	Saya tinggal di ibu kota.
9419742	I saw them swimming.	11928103	Aku melihat mereka berenang.
9419733	He is not happy although he has money.	11928105	Dia tidak bahagia meskipun dia punya uang.
9419727	We go there frequently.	11928106	Kami sering pergi ke sana.
9439755	Tom and Mary aren't religious at all.	11928108	Tom dan Mary tidak religius sama sekali.
9415368	Other than there, this language is spoken in Goa, Karnataka, Gujarat, Andhra Pradesh, Madhya Pradesh, Tamil Nadu and Chattisgarh.	11928111	Selain di sana, bahasa ini juga digunakan di Goa, Karnataka, Gujarat, Andhra Pradesh, Madhya Pradesh, Tamil Nadu dan Chhattisgarh.
11928110	Tom is a criminologist.	11928112	Tom adalah seorang kriminolog.
7333982	You found something.	11928114	Kamu menemukan sesuatu.
9353250	Search!	11928117	Carilah!
2241096	We found something.	11929185	Kami menemukan sesuatu.
2587698	I appreciate you.	11929228	Saya menghargai Anda.
2587698	I appreciate you.	11929229	Aku menghargaimu.
11929235	Get a saw.	11929237	Ambil gergaji.
11929674	She is writing.	11239903	Dia sedang menulis.
68198	The star which shines up there is Jupiter.	773602	Bintang yang bersinar di atas sana adalah Jupiter
8459640	Unfortunately, nobody told us.	10313528	Sayangnya, tidak ada yang memberi tahu kami.
320819	My mother is busy in the kitchen.	4222601	Ibuku sedang sibuk di dapur.
315830	She plays tennis in the morning.	1800259	Dia bermain tenis pada pagi hari.
442120	This flag is very beautiful.	1372420	Bendera ini sangat indah.
8478241	He was writing.	11239903	Dia sedang menulis.
8651876	She was writing.	11239903	Dia sedang menulis.
11930383	Vladimir put his socks on the table.	11930387	Vladimir meletakkan kaus kakinya di atas meja.
11931717	We don't want to.	11931741	Kita tidak mau.
11931716	She doesn't want to.	11931748	Dia tidak mau.
11931715	He doesn't want to.	11931748	Dia tidak mau.
11931659	Tom likes comedy.	11931750	Tom suka komedi.
11931163	Don't eat too many hot dogs.	11931752	Jangan makan hot dog terlalu banyak.
11931717	We don't want to.	11931753	Kami tidak mau.
11931185	I'm not pessimistic, but skeptical.	11931760	Saya tidak pesimistis, tetapi skeptis.
11931224	Don't kiss.	11931763	Jangan berciuman.
11931843	I can't, and I don't want to.	11932277	Aku tidak bisa, dan aku tidak mau.
11931830	Are you OK alone?	11932280	Kamu gak apa-apa sendirian?
11931523	He doesn't know what that word means.	11932285	Dia tidak tahu apa arti kata itu.
6983336	Melanie said that she likes to swim.	11932308	Melanie bilang dia suka berenang.
6436570	Tom said he thought Mary was drunk.	11932315	Tom bilang dia kira Mary mabuk.
11919792	There are many pagodas here.	11932322	Ada banyak pagoda di sini.
11931465	There are a lot of pagodas here.	11932322	Ada banyak pagoda di sini.
28300	On your marks, get set, go!	11933181	Bersedia, siap, ya!
2199654	On your mark, get set, go!	11933181	Bersedia, siap, ya!
1989323	On your mark! Get set! Go!	11933181	Bersedia, siap, ya!
10999835	His sister lives in Scotland.	11933189	Adiknya tinggal di Skotlandia.
1803070	Her sister lives in Scotland.	11933189	Adiknya tinggal di Skotlandia.
8480047	He's aggressive.	5158569	Dia agresif.
1764503	She has wine.	3970754	Dia memiliki anggur.
1740856	He gave me a ride home.	4261496	Dia mengantarku pulang.
2950821	She is always on my side.	4314907	Dia selalu membelaku.
1079123	Here's your bag.	4321246	Ini dia tasmu.
8952904	I worry about her.	4323220	Aku mengkhawatirkan dia.
314853	She looks young.	4327381	Dia terlihat muda.
3904950	You underestimated him.	4329113	Kau meremehkan dia.
3904951	You underestimated her.	4329113	Kau meremehkan dia.
11933198	Tom bothered Mary.	11933207	Tom mengganggu Mary.
9189228	She drinks water.	5163955	Dia minum air.
294855	He is a student.	7846447	Dia seorang siswa.
5901913	He's a student.	7846447	Dia seorang siswa.
10129913	Where has he gone?	3882928	Ke mana perginya dia?
10129914	Where's he gone?	3882928	Ke mana perginya dia?
1657740	He's not a liar.	3934369	Dia bukan seorang pembohong.
4165861	He is not a liar.	3934369	Dia bukan seorang pembohong.
8479155	He isn't a liar.	3934369	Dia bukan seorang pembohong.
283292	He hasn't come yet.	4038655	Dia masih belum datang.
354251	She lived a happy life.	4210046	Dia hidup dengan bahagia.
3758685	He's always very polite.	4289156	Dia selalu sopan santun.
10115166	Let's eat Grandma.	11933455	Mari kita makan Nenek.
1806256	Oh, no!	11934231	Oh, tidak!
1299275	Oh no!	11934231	Oh, tidak!
2030119	You've got to be kidding me!	4325182	Kau pasti bercanda!
618799	That's true.	11934238	Itu benar.
3086839	Gosh!	10753355	Astaga!
837409	The computer is broken.	11934267	Komputernya rusak.
11934268	Don't spit.	11934271	Jangan meludah.
1189719	I'm eating.	10715970	Saya sedang makan.
1189719	I'm eating.	11934273	Aku lagi makan.
11934274	Don't spit here.	11934275	Jangan meludah di sini.
11934272	Tom has faith.	11934277	Tom berkeyakinan.
11934350	Don't eat it, OK?	11934351	Jangan dimakan, ya?
11934597	Tom is brokenhearted.	11934599	Tom patah hati.
11934590	Don't kick.	11934600	Jangan menendang.
3956084	Tom was brokenhearted.	11934599	Tom patah hati.
11934495	Tom accompanied Mary.	11934623	Tom menemani Mary.
11934320	Don't eat too many cookies.	11934626	Jangan makan kue terlalu banyak.
11934357	The folder caught fire.	11934631	Mapnya kebakar.
2548080	Tom plays the flute.	11934632	Tom bermain seruling.
11934643	Don't erase the blackboard.	11934657	Papan tulisnya jangan dihapus.
55521	Whose pencil is this?	11934689	Ini pensil siapa?
11934700	Vladimir has to wear gloves.	11934709	Vladimir harus memakai sarung tangan.
5593330	Don't delete this file.	11934618	File ini jangan dihapus.
3703145	Talking about music is like dancing about architecture.	11935697	Berbicara tentang musik itu seperti menari tentang arsitektur.
312389	She wore a loose jacket.	11935703	Dia memakai jaket longgar.
6694411	Sami's laptop disappeared.	11935720	Laptop milik Sami menghilang.
11935737	Fill in this form, please.	11935739	Silakan isi formulir ini.
11255787	Feta cheese has a lot of salt.	11935744	Keju feta mengandung banyak garam.
6960563	Big car, little dick.	11936001	Mobilnya besar, kontolnya kecil.
3121923	Marian and Harry have long hair.	11936005	Marian dan Harry berambut panjang.
996930	I already read all the Harry Potter books.	11936006	Aku sudah membaca semua buku Harry Potter.
11935789	I couldn't avoid it.	11936033	Saya tidak bisa menghindarinya.
11935788	I couldn't avoid him.	11936033	Saya tidak bisa menghindarinya.
11935791	I couldn't avoid her.	11936033	Saya tidak bisa menghindarinya.
682511	In the United States, school buses are yellow.	11936114	Di Amerika Serikat, bus sekolah berwarna kuning.
10192806	Don't touch the blue button.	11936117	Jangan sentuh tombol biru.
6069951	A life sentence in Indonesia means you're gonna die in jail.	9998328	Hukuman seumur hidup di Indonesia berarti kamu akan mati di penjara.
11936183	Vladimir recited some verses of the Quran.	11936204	Vladimir membacakan beberapa ayat Alquran.
6090608	Pray!	11936987	Berdoalah!
10056884	Amen.	11938140	Amin.
1216015	That's right.	11934238	Itu benar.
1897785	That's correct.	11934238	Itu benar.
1669996	That is correct.	11934238	Itu benar.
11939078	We are trapped.	11939082	Kita terjebak.
2107365	We're trapped.	11939082	Kita terjebak.
6336938	I wonder whether Tom is crazy.	10715967	Saya bertanya-tanya apakah Tom gila.
6231599	I wonder if Tom is crazy.	10715967	Saya bertanya-tanya apakah Tom gila.
4959354	I study sometimes!	4959501	Saya belajar kadang-kadang!
11027372	I'm Dr. Jackson.	11940192	Saya dr. Jackson.
318556	Don't be ashamed of being poor.	7021479	Jangan malu karena miskin.
565931	Kiss me.	4897822	Cium saya.
1122514	I'm a woman.	7024445	Aku perempuan.
7541483	Tom doesn't know anything about badminton.	11944353	Tom tidak tahu apa-apa tentang bulu tangkis.
435114	His socks are purple.	11944378	Kaus kakinya berwarna ungu.
3752928	She should learn Esperanto.	11944397	Dia harus belajar bahasa Esperanto.
3752927	He should learn Esperanto.	11944397	Dia harus belajar bahasa Esperanto.
11944435	Said bought me peanuts.	11944447	Said membelikan saya kacang.
11944446	You have arrived in Ighrem.	11944458	Anda telah sampai di Ighrem.
9255733	We need cement and sand.	11945988	Kami membutuhkan semen dan pasir.
4567809	I'm not a robot.	11946000	Aku bukan robot.
55514	Whose room is this?	8832556	Ini kamar siapa?
55517	Whose bicycle is this?	5881903	Sepeda ini milik siapa?
56897	Whose is this book?	3864961	Buku siapa ini?
58875	Whose is this bicycle?	5881903	Sepeda ini milik siapa?
318701	A woman whose husband is dead is called a widow.	785450	Seorang wanita, yang suaminya meninggal, disebut janda.
9826635	I like white roses more than red ones.	4582769	Aku lebih suka mawar putih daripada mawar merah.
11158860	I play chess every day.	11947250	Aku bermain catur setiap hari.
4494056	Maybe Tom shouldn't be here.	11947252	Mungkin Tom seharusnya tidak berada di sini.
433763	I'm OK.	3479026	Aku baik-baik saja.
257272	I'm fine.	3479026	Aku baik-baik saja.
1202037	I'm Antonio.	11947738	Saya Antonio.
11613358	I'm Canadian, but I live in Australia.	11947744	Saya orang Kanada, tetapi saya tinggal di Australia.
11947767	We're too tired.	11947768	Kami terlalu lelah.
11947617	Tiziri corrected it.	11947774	Tiziri memperbaikinya.
11947581	She doesn't want to lend her sister a pen.	11947783	Dia tidak mau meminjamkan pena kepada kakaknya.
11947552	They looked for you in Tixeraine.	11947794	Mereka mencarimu di Tixeraine.
11947524	He moved to At Rzine.	11947797	Dia pindah ke At Rzine.
11945896	I didn't invite her to the party.	11947799	Aku tidak mengundangnya ke pesta.
11945862	Yuba does not drink coffee.	11947803	Yuba tidak minum kopi.
11947804	I almost threw up.	11947815	Aku hampir muntah.
11947732	They should eat.	11947823	Mereka harus makan.
11946931	He called his friend.	11947831	Dia menelepon temannya.
11946927	She called her husband.	11947832	Dia menelepon suaminya.
11873899	I'm still stuck.	11947854	Aku masih terjebak.
11873652	Tom still lives here.	11947870	Tom masih tinggal di sini.
11873912	I'm still curious.	11947872	Aku masih penasaran.
11873919	I'm still healthy.	11947873	Aku masih sehat.
20567	There is one apple on the desk.	11947878	Ada satu buah apel di atas meja.
19453	Is there a milkman?	11947881	Apakah ada tukang susu?
21185	Dry sand absorbs water.	11947882	Pasir yang kering menyerap air.
294120	He does not smoke.	11947883	Dia tidak merokok.
11943206	No one works there any more.	11947903	Tidak ada lagi yang bekerja di sana.
11943197	I don't know why he's late.	11947907	Aku tidak tahu mengapa dia terlambat.
11935951	She married one of his students.	11947922	Dia menikah dengan salah satu muridnya.
11899635	Don't forget to knock.	11947928	Jangan lupa mengetuk pintu.
11895817	You're reading the wrong books.	11947931	Kamu membaca buku-buku yang salah.
4502809	Everybody wants something.	11947937	Setiap orang menginginkan sesuatu.
348107	Come on in.	11251707	Masuklah.
7162486	His favorite subject is mathematics.	11137855	Mata pelajaran kesukaannya adalah Matematika.
10752488	He often went swimming in that river.	9996099	Dia sering pergi berenang di sungai itu.
279247	The phone is out of order.	4217216	Teleponnya rusak.
1565471	I look forward to it.	4390524	Saya menantikannya.
2250243	His name's Tom.	4556457	Namanya Tom.
8498193	Tom liked him.	4476968	Tom menyukainya.
8498192	Tom liked her.	4476968	Tom menyukainya.
2237167	Tom likes him.	4476968	Tom menyukainya.
2237175	Tom likes that.	4476968	Tom menyukainya.
2329335	I gave it back.	4739285	Aku mengembalikannya.
6884378	At last!	4897791	Akhirnya!
1438701	I'm sleepy.	11949768	Aku mengantuk.
1563110	I'm innocent.	11949777	Aku tidak bersalah.
1563108	I'm not guilty.	11949777	Aku tidak bersalah.
7780677	Dogs that are dead can't bite.	3221260	Anjing yang mati tak bisa menggigit.
7780327	Dead dogs can't bite.	3221260	Anjing yang mati tak bisa menggigit.
827295	I hate you.	11950413	Aku membencimu.
1213414	I don't love you.	11950425	Aku tidak mencintaimu.
9475674	Ok! Thanks.	11951655	Oke! Terima kasih.
9192040	Beef is expensive.	11951666	Daging sapi itu mahal.
11950832	There were cobwebs everywhere.	11951707	Ada sarang laba-laba di mana-mana.
11934251	Your aunt is waiting for you.	11951751	Bibimu menunggumu.
11787283	It's just a spider.	11951762	Itu cuman laba-laba.
5009640	Tom was killed by Mary.	4788287	Tom dibunuh Mary.
11953369	He spoke to him.	11953470	Dia berbicara kepadanya.
8479570	He spoke to her.	11953470	Dia berbicara kepadanya.
3998125	Dan and his friends gathered outside the police station.	11953535	Dan dan teman-temannya berkumpul di luar kantor polisi.
1422846	This is a Betamax cassette.	11953573	Ini kaset Betamax.
1211442	This is ice.	11953771	Ini es.
11953776	I didn't invite Tom to the party.	11953781	Aku tidak mengundang Tom ke pesta.
11009467	Done!	11954472	Selesai!
9353251	Hide!	11954477	Sembunyi!
7772536	I go.	11954484	Aku pergi.
1130100	Farewell!	11954538	Selamat tinggal!
7869885	Farewell.	11930273	Selamat tinggal.
3264694	Tom lost his new watch.	11954580	Tom kehilangan jam tangan barunya.
7590720	I don't know where he is.	11954595	Aku tidak tahu dia di mana.
8736219	I don't know where she is.	11954595	Aku tidak tahu dia di mana.
324673	It's five in the evening.	11954623	Sekarang jam lima sore.
7495284	Tom forgot to bring a torch.	11954639	Tom lupa membawa senter.
3428371	Tom forgot to bring a flashlight.	11954639	Tom lupa membawa senter.
11954648	She hates us.	11954650	Dia membenci kita.
8475968	He hates us.	11954650	Dia membenci kita.
11954692	I didn't invite him to the party.	11947799	Aku tidak mengundangnya ke pesta.
3989523	Dan didn't even want to go there.	11955855	Dan bahkan tidak ingin pergi ke sana.
4496800	This is complicated.	11955862	Ini rumit.
11536859	There are 64 districts in Bangladesh.	11955876	Ada 64 distrik di Bangladesh.
2239738	Tom was bald.	11922094	Tom botak.
11598049	I don't even know her last name.	11957930	Aku bahkan tidak tahu nama belakangnya.
2546472	It's strange, isn't it?	11958113	Aneh, kan?
9673116	Mount Everest is the tallest mountain in the world.	11958282	Gunung Everest adalah gunung paling tinggi di dunia.
10099902	Mt. Everest is the tallest mountain in the world.	11958282	Gunung Everest adalah gunung paling tinggi di dunia.
10741490	Mount Everest is the highest mountain in the world.	11207442	Gunung Everest adalah gunung tertinggi di dunia.
10099902	Mt. Everest is the tallest mountain in the world.	11207442	Gunung Everest adalah gunung tertinggi di dunia.
9673116	Mount Everest is the tallest mountain in the world.	11207442	Gunung Everest adalah gunung tertinggi di dunia.
302101	He can't read it.	11958296	Dia tidak bisa membacanya.
9673129	The tallest mountain in the world is Mount Everest.	11958302	Gunung tertinggi di dunia adalah Gunung Everest.
65301	Mt. Everest is the highest mountain in the world.	11958282	Gunung Everest adalah gunung paling tinggi di dunia.
10741490	Mount Everest is the highest mountain in the world.	11958282	Gunung Everest adalah gunung paling tinggi di dunia.
11958303	Tom is already three hours late.	11958313	Tom sudah telat tiga jam.
11959325	Bring a friend.	11959387	Ajak teman.
6873170	I'm going to play tennis.	751321	Saya akan bermain tenis.
11593910	It's weird, isn't it?	11958113	Aneh, kan?
2742946	He loves him.	11959743	Dia mencintainya.
394633	He loves her.	11959743	Dia mencintainya.
2742954	She loves her.	11959743	Dia mencintainya.
887283	She loves him.	11959743	Dia mencintainya.
1064354	Let's play hide-and-seek!	11959765	Ayo main petak umpet!
3914080	I kissed him.	10729459	Aku menciumnya.
887516	She wants to kiss him.	4924431	Dia ingin menciumnya.
1437170	She is crazy.	10644312	Dia gila.
1437171	She's crazy.	10644312	Dia gila.
